Arabic,English
، ,","
لا ,no 
من ,from 
في ,in 
أن ,that 
هذا ,this 
على ,on 
ما ,what 
أنا ,I 
هل ,Do 
و ,And
يا ,Hey 
ذلك ,that 
لقد ,I have
لم ,did not 
ماذا ,What 
كان ,He was 
هنا ,here 
إلى ,to 
أنت ,You 
هو ,he 
هذه ,This is amazing 
عن ,on 
نعم ,Yes 
ان ,that 
هناك ,there 
كل ,all 
حسناً ,Good 
ليس ,not 
كنت ,I was 
فقط ,only
شيء ,something 
الآن ,now 
مع ,with 
الذي ,that 
لكن ,but 
أجل ,Okay 
لك ,for you 
يجب ,He should 
لن ,won't 
كيف ,how 
حسنا ,Good 
انا ,I 
لي ,for me 
إنه ,that it 
سوف ,will 
نحن ,we 
إذا ,if 
كانت ,She was 
عندما ,when 
أي ,any 
قد ,May
لماذا ,Why
هي ,she 
الأمر ,The matter
أنه ,that it 
فى ,in 
حتى ,until 
بعد ,after 
كذلك ,like that 
أو ,or
ولكن ,But
قبل ,before 
التي ,that 
انه ,that it 
إنها ,that it 
ـ ,-
لو ,if 
ربما ,maybe 
أين ,where 
هيا ,Let's go 
تلك ,Those
أعرف ,I know 
الى ,to 
إن ,that 
يكون ,He is 
بعض ,some 
أريد ,I want 
أعتقد ,I believe 
انت ,You 
عليك ,upon you 
مثل ,like 
صحيح ,correct 
به ,With him
أنك ,You
الوقت ,the time 
بخير ,fine 
أعلم ,Know 
أحد ,One
شخص ,person 
جداً ,very 
رجل ,man 
شكراً ,Thanks 
لذا ,So
يمكن ,maybe 
كما ,as 
كلا ,both 
أكثر ,more 
يبدو ,It seems 
جيد ,good 
تكون ,be
علي ,on 
اليوم ,today 
يمكنك ,You could 
انها ,that it 
أليس ,Alice
مرحباً ,Welcome 
لدي ,I have 
عليه ,On him
آخر ,last 
لست ,I am not
منذ ,since 
غير ,not 
أيها ,Oh
لديك ,You have
حقاً ,truly 
أنتِ ,You 
تريد ,You want
أستطيع ,I can
الرجل ,The man
تعرف ,to get to know 
له ,for him 
مرة ,once
لدينا ,We have
أنها ,that it 
يمكنني ,I can
بأن ,that
واحد ,One
أنني ,I
أوه ,Oh
سيكون ,It will be
الناس ,the people 
ليست ,Not
حدث ,It happened 
بها ,In it
أيضاً ,also 
أفضل ,better 
الكثير ,a lot 
علينا ,On us
سيدي ,my lord 
مكان ,place 
تفعل ,Do
وقت ,time 
يكن ,It is
ط ,T
شئ ,Something
بهذا ,This
وأنا ,And I
اذا ,if 
جدا ,very 
بي ,with me 
أخرى ,Other
آسف ,Sorry 
بك ,Bek
رائع ,amazing 
بذلك ,That
كم ,how much 
إذاً ,if 
ثم ,then 
شيئاً ,something
يوجد ,There is 
واحدة ,One
ولا ,no 
قلت ,I said 
يحدث ,It is happening 
بالطبع ,naturally 
شكرا ,Thanks 
مرحبا ,Welcome 
يوم ,day 
أبي ,my dad 
معك ,with you 
لها ,she has 
معي ,with me 
سيد ,sir 
تعلم ,to learn 
إذن ,permission 
العمل ,the job 
تم ,It was completed 
المكان ,The place
الليلة ,Tonight
إلهي ,My God
لهذا ,For this
فعل ,an act 
هكذا ,thus 
أمي ,My mom 
لذلك ,Therefore
ألا ,unless 
لـ ,for
الان ,now 
حول ,around 
بما ,In what
حقا ,truly 
الحقيقة ,the truth 
الجميع ,everyone 
يمكننا ,We can
بالتأكيد ,certainly 
لأن ,because 
لديه ,He has
لنا ,for us 
خلال ,during 
ظ ,ظ
بشكل ,In a way
العالم ,the world 
فحسب ,Just
حال ,Current
الذهاب ,Going
عليها ,On it
بـ ,b
أعني ,I mean
فعلت ,I did 
قال ,He said 
هم ,They
المنزل ,the home 
عنه ,About him
ها ,Ha
بشأن ,Regarding
أفعل ,I do
أكون ,I am
اللعنة ,the curse 
للغاية ,extremely
فيه ,In it
بين ,between 
أننا ,That we
منك ,From you
وهذا ,This
لكِ ,for you 
جيدة ,Good
يعني ,Meaning
مجرد ,merely 
أظن ,I think
انك ,You
مني ,Mona 
أنّ ,that 
بالنسبة ,with regards 
الأمور ,Things
فكرة ,an idea 
أم ,Mother
متى ,when 
الشيء ,The thing
المال ,the money 
كنا ,We were
أقول ,I say
عمل ,a job 
أبداً ,never 
ستكون ,It will be
عليّ ,on 
أيّ ,any 
أمر ,Order
تقول ,She says
توقف ,to stop 
هؤلاء ,These
السيد ,Mr 
انظر ,Look 
لما ,when 
منه ,From him
الطريق ,The road
أشعر ,I feel
حصلت ,I got
الحياة ,life 
أني ,that I 
نفس ,same 
معه ,With him
بحاجة ,Need
بسبب ,because of 
الذين ,Those
تستطيع ,You can
بأس ,Bas
اي ,any 
بدون ,Without
لكم ,For you
تبدو ,It looks
أرى ,Show 
الجحيم ,Hell 
تكن ,Be
اعتقد ,I believe 
عند ,when 
آسفة ,sorry 
حيث ,where 
دائماً ,always 
وأنت ,And you 
تحت ,under 
حسنًا ,Good 
تعال ,Come here 
بالفعل ,actually 
بل ,but rather 
فضلك ,Please
الأشياء ,things
ليلة ,night
نفسك ,Yourself
لكي ,in order to 
تعتقد ,You believe
وهو ,He is
بحق ,Rightfully
مشكلة ,problem 
شيئا ,Something
أرجوك ,Please 
أذهب ,Go 
يريد ,He wants
تماماً ,completely 
الـ ,The
الوحيد ,The only one
قتل ,Killed
إنهم ,They
الشخص ,person
رأيت ,I saw 
عزيزتي ,My dear 
طوال ,Throughout
بهذه ,With this
الشرطة ,Police
الأن ,now 
أحب ,I love 
الذى ,that 
أيضا ,also 
بنا ,Building
أردت ,I wanted
أكن ,I am
كلّ ,all 
النار ,fire
سمعت ,I heard
اجل ,Okay 
جميع ,all
أَنْ ,that 
قليلاً ,a little 
مالذي ,What
بأنه ,That he
والآن ,And now
إلي ,to 
انتظر ,I am waiting 
فتاة ,girl 
كبير ,big 
يعرف ,He knows
او ,Or
فيها ,In it
حسنٌ ,Good
الرجال ,Men
اريد ,I want 
لأنه ,Because
السبب ,the reason 
سنوات ,years
الباب ,The door
نذهب ,We go
دون ,Don
حياتي ,my life 
لابد ,It is necessary
السيارة ,car
تريدين ,Do you want
خارج ,outside
ومن ,And from
ثلاثة ,three 
فعله ,He did it
تذهب ,go
كانوا ,They were
اذهب ,Go 
الحصول ,Get
يقول ,He says 
الواقع ,reality 
كثيراً ,a lot 
اعرف ,I know 
أنهم ,They
سبب ,a reason 
كبيرة ,large
مما ,Which
أحتاج ,I need 
قمت ,I did
إنّه ,that it 
منها ,From it
كنتُ ,I was 
للتو ,Just
استطيع ,I can
نوع ,type
هنالك ,There
تعرفين ,You know
جميلة ,beautiful 
بكل ,With all
دولار ,dollar 
بأنك ,That you
لأنني ,Because I
الأفضل ,The best 
دائما ,always 
جديد ,new 
الامر ,The matter
اين ,where 
بالضبط ,exactly 
جون ,John
دعنا ,Let's
أنظر ,Look 
المدينة ,City
الخاص ,private 
تعلمين ,You know
جميل ,Beautiful 
بسرعة ,quickly 
الأرض ,the earth 
لحظة ,moment
الطريقة ,The method
طريقة ,road 
رائعة ,amazing 
سعيد ,happy 
دقيقة ,minute 
لكنه ,But he
غرفة ,room
إليه ,To him
التحدث ,Speaking
ثانية ,second 
دعني ,Let me
لكنني ,But I
الفتاة ,The girl
لمَ ,did not 
ولم ,And did not
أنتم ,you all 
عظيم ,great 
انهم ,They
اوه ,Oh
جيداً ,well 
لديّ ,I have 
بينما ,while 
نفسي ,myself 
إليك ,Here you
قام ,He did
لديها ,She has
عام ,general 
اعلم ,Know 
يعمل ,He works 
سأكون ,I will be
عيد ,holiday 
رفاق ,comrades 
ألم ,pain 
لهم ,For them
تعمل ,It works
تتحدث ,She speaks
القيام ,Doing
الله ,God 
ساعة ,hour 
المرة ,time
هيّا ,Let's go 
ترى ,See
مهلاً ,Wait
جاك ,Jack
أنتَ ,You 
الخير ,Good
متأكد ,sure 
جميعاً ,All of them
أحاول ,I'm trying
شيئ ,something 
الموت ,death 
رقم ,number 
منهم ,Among them
سيارة ,car 
مجدداً ,Again
ايها ,Oh
عنك ,About you
يفعل ,He does
فقد ,Lost
ذهبت ,I went 
المزيد ,More
أتمنى ,I hope 
مات ,He died 
يتم ,It is
لكني ,But I
طريق ,road 
وجدت ,I found
وقد ,And
أول ,First
معها ,With her
سعيدة ,Happy
لدى ,I have 
أقصد ,I mean 
إلا ,unless 
صباح ,morning 
الرئيس ,President
احد ,One
فرصة ,an opportunity 
الأولى ,First
تباً ,Damn
يرام ,Okay
عليكِ ,upon you 
يكفي ,It is enough 
علاقة ,relationship 
صغيرة ,small
الأقل ,The least
لأنك ,Because you
غريب ,strange 
لنذهب ,Let's go
المدرسة ,the school 
ــ ,—
الصباح ,the morning 
أفهم ,I understand
حين ,When
صديقي ,my friend 
سأذهب ,I'm going
أنكِ ,That you
تأتي ,It comes
الخاصة ,Private
أخبرني ,Tell me 
تقوم ,It does
نستطيع ,We can
نفسه ,himself
التى ,that 
الأطفال ,children
حالة ,condition 
لى ,for me 
هى ,she 
يستطيع ,He can
يجري ,It is taking place
سنة ,year 
نفعل ,We do
أتعلم ,Do you know?
نهاية ,end 
أفكر ,I'm thinking
أود ,I would like
عشر ,ten
شىء ,something 
أقوم ,I do
الحب ,love 
أنّه ,that it 
كنتِ ,I was 
معاً ,together 
أى ,any 
انني ,I
لديهم ,They have
جديدة ,New
يعلم ,He knows
قالت ,She said
بدأت ,It began
الأول ,the first 
دقائق ,minutes 
عني ,About me
سيدة ,Mrs 
حالك ,Your condition
إنني ,I
عزيزي ,my dear 
رجال ,men 
نعرف ,We know
الجنس ,Sex
؛ ,;
رؤية ,Vision
ينبغي ,It should
الي ,to 
حصل ,He got
معنا ,With us
الطفل ,child
وليس ,Not
كي ,in order to 
تحتاج ,You need
قليلا ,a little 
حياة ,life 
اسمع ,Listen 
الساعة ,the hour 
أكبر ,largest
اليس ,Isn't it
فهمت ,Understood 
عنها ,About her
أريدك ,I want you 
رجاءً ,please 
تفعله ,Do it
وماذا ,And what
ظننت ,I thought
سيدتي ,my lady 
البعض ,Some
الصغير ,The little one
تعني ,It means
إنّها ,that it 
البيت ,the house 
رأيك ,Your opinion
تكوني ,You are
هُنا ,here 
والدك ,Your father
مهما ,No matter
العودة ,Return
تماما ,completely 
لطيف ,Nice
يقوم ,He does
السجن ,the prison 
الليل ,the night 
السيدة ,Mrs 
أخي ,my brother 
بأنني ,That I
طويلة ,long
والدي ,my father 
وهي ,It is
حان ,It's time
أقل ,less 
الهاتف ,The phone
عبر ,via 
مهلا ,Wait
ترجمة ,translation 
نحتاج ,We need
أيتها ,Oh
وما ,And what
اكثر ,more 
أتحدث ,I'm talking
أيام ,days
أحدهم ,One of them
أولاً ,Firstly 
الماضي ,the past 
أحبك ,I love you 
الطعام ,food
البقاء ,Staying
معرفة ,knowledge 
العام ,Year
أية ,any 
ل ,L
أصبح ,He became
ذات ,The
الجديد ,New
مِنْ ,from 
لكنك ,But you
أبدا ,never 
وضع ,situation 
ً ,! 
سيئة ,bad
طفل ,child 
فوق ,Above
حياتك ,Your life
داخل ,inside 
وكان ,And it was
نكون ,We are
خطأ ,mistake 
سام ,Sam 
ونحن ,And we
منزل ,house
تشعر ,Feeling
عليهم ,On them
المفترض ,supposed
نتحدث ,We talk
طويل ,long 
نصف ,half 
فريق ,a team 
أخذ ,Take
الماء ,Water
لاحقاً ,Later
حق ,Right
يأتي ,It comes
صديق ,friend 
غداً ,tomorrow 
سأفعل ,I will
منا ,From us
الصغيرة ,The small
نريد ,We want
وانا ,And I
للمنزل ,For the home
ايضا ,also 
آه ,Yes 
خذ ,Take 
جزء ,part 
لكنها ,But it
جو ,Joe
أشياء ,things
كلمة ,word 
تفعلين ,You do
أعمل ,Work 
يمكنه ,He can
الآخر ,The other
تحاول ,Trying
هَلْ ,Do 
صغير ,small 
لستُ ,I am not
بخصوص ,regarding 
أخبرك ,I told you
الحال ,The situation
بأي ,In any
نظرة ,A look
لأجل ,For the sake of
الخروج ,Exit
تظن ,You think
النوم ,sleep 
الماضية ,Past
دكتور ,doctor 
المرأة ,woman
انظري ,Look
بد ,Bed
لمدة ,For the duration
وجود ,presence
الحرب ,War
ذا ,That
تقلق ,worry
بلا ,No
عرفت ,I knew
ثلاث ,three
هلا ,Do 
أدري ,I know
اللعين ,damned
ذهب ,gold 
الا ,unless 
المشكلة ,The problem
الأسبوع ,Week
الوحيدة ,The only one
كله ,All
تعالي ,Come here 
مايكل ,Michael 
إنك ,You
كلاّ ,both 
حاولت ,I tried
أهلاً ,Hello 
دعونا ,Let's
اخرى ,Other
أنّك ,that you
وشك ,Doubt
فعلاً ,actually 
وسوف ,And will
عائلة ,family 
افعل ,Do
عدم ,non 
أخبرتك ,I told you
كثيرا ,a lot 
سيدى ,my lord 
رئيس ,president 
فأنا ,I
